#MACHO_ID class amplitude hl_amp_ratio kurtosis n_points period period_SNR period_log10FAP period_uncertainty phase_cusum phase_eta phi21 phi31 quartile31 r21 r31 shapiro_w skewness slope_per10 slope_per90 stetson_k weighted_mean weighted_std
            1.4048.6         Cepheid   0.3921   1.2209  -1.2594  1201    7.7061730 233.5255 -212.4190    0.0254692   0.3472   0.0203  -1.4751  -3.6935   0.5100   0.3667   0.2043   0.9350  -0.1047  -1.3866   1.3944   0.7855  -9.4488   0.3024
         1.4049.1534         Cepheid   0.2195   0.9274  -1.4237  1155    2.2697261 226.6259 -230.5918    0.0025785   0.3065   0.0867  -1.8817  -5.0696   0.3090   0.1262   0.0200   0.9215  -0.0109  -0.3773   0.3697   0.8061  -8.1377   0.1602
           1.4052.55         Cepheid   0.1853   0.4227  -1.0460  1207    1.6233194 220.9409 -204.0982    0.0012904   0.2797   0.2605   0.7071   1.5276   0.2575   0.2996   0.0989   0.9087  -0.4738  -0.2005   0.1976   0.7001  -7.1685   0.1492
           1.4053.53         Cepheid   0.1158   0.6465  -0.3985  1170    1.4176017 203.0646 -142.9538    0.0008670   0.2653   0.7791   0.8747   0.2622   0.1585   0.1780   0.0082   0.9846  -0.3071  -0.1082   0.0999   0.7197  -7.1335   0.1091
         1.4055.2227         Cepheid   0.3072   0.6510  -1.2259   966    4.3799160 205.2112 -160.3727    0.0082241   0.3257   0.1502   1.1870   2.4409   0.4392   0.3830   0.1630   0.9332  -0.2750  -0.5295   0.5541   0.7339  -8.5339   0.2471
           1.4171.24         Cepheid   0.3425   0.6103  -1.1473  1159    4.6757546 224.4624 -187.1103    0.0080294   0.2639   0.0144   1.2531  -0.5117   0.4825   0.4722   0.2392   0.9401  -0.2999  -1.1306   1.3542   0.7167  -8.4268   0.2870
           1.4175.14         Cepheid   0.1183   0.6998  -1.2907  1238    4.6544406 236.7311 -245.8859    0.0092877   0.2736   0.0861   0.8145   1.4705   0.1650   0.1528   0.0521   0.9264  -0.2698  -1.5537   1.5035   0.7959  -9.3666   0.0870
           1.4176.34         Cepheid   0.1328   0.9126  -1.3237  1229    2.0431574 235.1261 -244.5048    0.0020442   0.2709   0.1050  -1.8988  -4.1014   0.1850   0.1100   0.0132   0.9427  -0.0293  -0.3734   0.5083   0.7888  -8.1436   0.0970
           1.4289.25         Cepheid   0.2351   0.6603  -1.1007  1181    4.0338486 222.0361 -194.9974    0.0069687   0.2893   0.2384  -2.0405  -3.9066   0.3170   0.3403   0.1043   0.9497  -0.2235  -0.4188   0.3592   0.7441  -8.0456   0.1857
           1.4291.35         Cepheid   0.1893   0.7813  -1.3885  1209    2.1587507 225.3754 -231.0011    0.0019999   0.2794   0.1752  -1.8962  -2.4799   0.2740   0.1266   0.0140   0.9256  -0.0957  -0.2930   0.3026   0.7851  -8.1708   0.1421
           1.4294.36         Cepheid   0.3174   0.4861  -1.0299  1187    3.7112873 225.5165 -194.2160    0.0059043   0.3511   0.0218   1.0468   2.2613   0.4315   0.4386   0.2331   0.9192  -0.4953  -0.7105   0.7399   0.6953  -8.3010   0.2641
           1.4296.70         Cepheid   0.0903   0.9014  -1.0506  1230    1.4659984 225.5235 -209.9568    0.0009210   0.2283   0.3843  -2.5302  -1.9656   0.1250   0.0892   0.0250   0.9643  -0.0517  -0.2271   0.2153   0.8108  -7.5825   0.0696
           1.4412.29         Cepheid   0.3024   0.6177  -1.1704  1212    4.0986168 230.9327 -207.6176    0.0082261   0.3431   0.0339   1.1744   5.6003   0.4303   0.4237   0.2009   0.9353  -0.3066  -0.8287   0.8338   0.7314  -8.0331   0.2435
           1.4414.42         Cepheid   0.1851   0.9563  -1.4165  1208    1.9032021 222.8934 -227.1936    0.0017737   0.2845   0.2049  -1.8320  -5.0239   0.2720   0.1176   0.0080   0.9252  -0.0014  -0.2257   0.2553   0.8106  -8.0647   0.1393
           1.4415.55         Cepheid   0.1375   0.7662  -1.1587  1162    1.8364531 230.1263 -214.0927    0.0014447   0.2287   0.2464   1.2720   2.2386   0.1850   0.1031   0.0034   0.9542  -0.0778  -0.2938   0.2611   0.7430  -7.4085   0.1022
           1.4417.13         Cepheid   0.3579   0.5384  -1.1067  1231    4.2040882 226.2827 -201.0869    0.0086549   0.3889   0.0211  -1.9337  -0.5885   0.4840   0.4549   0.2264   0.9341  -0.3815  -0.7122   0.6235   0.6756  -8.4359   0.2949
           1.4531.99         Cepheid   0.1069   0.9622  -0.2019  1211    2.0539460 206.6509 -141.9614    0.0020658   0.2506   1.0874  -1.8693  -4.5970   0.1530   0.1037   0.0381   0.9923   0.0569  -0.1731   0.2129   0.7706  -6.4248   0.0896
           1.4532.66         Cepheid   0.2664   0.4627  -1.0427  1243    3.0988404 231.2177 -208.9843    0.0035268   0.2542   0.0222  -2.1432  -0.9579   0.3565   0.4374   0.2254   0.9139  -0.5116  -0.7284   0.7716   0.6942  -7.8587   0.2228
           1.4534.23         Cepheid   0.1138   0.8425  -1.2998  1197    4.2105893 234.1265 -227.1477    0.0086817   0.2292   0.1312   1.0074   2.1552   0.1640   0.2125   0.0472   0.9389  -0.1741  -0.9029   0.8516   0.7662  -8.3205   0.0857
           1.4534.33         Cepheid   0.3130   0.4536  -0.8850  1226    2.7888506 229.1574 -202.4461    0.0033314   0.3572   0.0221  -2.1707  -1.0595   0.3978   0.4378   0.2234   0.9074  -0.6106  -0.6006   0.6022   0.6649  -7.8677   0.2610
           1.4534.48         Cepheid   0.1989   0.5617  -1.2503  1226    3.3810196 232.8623 -221.4176    0.0055977   0.2758   0.0724   4.1293   5.3189   0.2800   0.3324   0.1299   0.9212  -0.3520  -0.5251   0.6070   0.7589  -7.9921   0.1550
           1.4539.77         Cepheid   0.3061   0.4315  -0.8439  1235    2.7102002 225.0483 -196.1537    0.0035968   0.2615   0.0603  -2.1611  -1.0497   0.4040   0.4584   0.2353   0.9245  -0.5779  -0.3423   0.3718   0.6508  -7.8571   0.2583
           1.4652.42         Cepheid   0.1893   0.6444  -1.3443  1211    1.5163437 230.2052 -231.6740    0.0011263   0.2429   0.1440   0.8954   1.9694   0.2630   0.1682   0.0458   0.9167  -0.2741  -0.2232   0.2006   0.7750  -7.9923   0.1403
           1.4653.29         Cepheid   0.2689   0.5566  -1.0940  1208    3.5874147 224.6678 -202.3682    0.0070867   0.3263   0.1075  -2.0919  -4.0296   0.3605   0.3946   0.1667   0.9277  -0.4130  -0.4371   0.5290   0.7131  -8.0144   0.2193
